driverId,constructorId,grid,positionOrder,laps,circuitId,numStops
39,164,24,0,32,22,1
154,208,4,0,51,22,3
155,15,3,0,53,22,2
807,10,15,0,53,22,2
808,207,22,0,52,22,3
811,3,16,0,53,22,4
813,3,12,0,53,22,2
814,10,11,0,53,22,2
815,15,5,0,18,22,1
817,5,14,0,53,22,2
818,5,19,0,53,22,2
819,206,21,0,37,22,2
1,1,3,0,55,35,3
4,6,4,0,55,35,2
5,207,19,0,54,35,2
8,208,5,0,55,35,2
10,206,20,0,54,35,2
13,6,6,0,55,35,2
17,9,1,0,55,35,2
20,9,2,1,55,35,2
30,131,10,0,55,35,2
39,164,23,0,53,35,1
154,208,7,0,55,35,2
155,15,13,0,16,35,2
807,10,8,0,55,35,2
808,207,18,0,54,35,2
811,3,17,0,55,35,2
813,3,15,0,55,35,1
814,10,14,0,55,35,2
815,15,12,0,55,35,2
817,5,21,0,55,35,2
818,5,16,0,55,35,2
819,206,24,0,53,35,2
1,1,3,0,60,68,1
3,131,10,0,60,68,1
4,6,5,0,60,68,1
5,207,20,0,59,68,1
8,208,7,0,60,68,1
10,206,21,0,58,68,1
13,6,6,0,60,68,1
17,9,2,0,60,68,1
18,1,4,0,60,68,1
20,9,1,1,60,68,1
30,131,14,0,55,68,2
37,164,22,0,43,68,1
39,164,23,0,58,68,1
154,208,11,0,60,68,1
155,15,17,0,60,68,1
807,10,12,0,60,68,1
808,207,19,0,59,68,1
811,3,13,0,60,68,1
813,3,9,0,59,68,2
814,10,16,0,60,68,1
815,15,8,0,21,68,2
817,5,15,0,60,68,1
818,5,18,0,59,68,2
819,206,24,0,59,68,1
3,131,7,0,7,24,1
4,6,6,0,55,24,1
5,207,18,0,55,24,1
8,208,4,1,55,24,1
10,206,21,0,55,24,1
13,6,8,0,55,24,1
17,9,2,0,37,24,1
18,1,5,0,55,24,1
20,9,24,0,55,24,2
30,131,13,0,55,24,2
37,164,22,0,55,24,1
154,208,9,0,37,24,2
155,15,15,0,55,24,1
808,207,20,0,55,24,1
811,3,14,0,55,24,1
813,3,3,0,55,24,1
814,10,12,0,55,24,3
815,15,11,0,55,24,3
817,5,16,0,55,24,2
818,5,17,0,55,24,2
819,206,19,0,41,24,1
1,1,2,1,56,69,1
3,131,17,0,56,69,1
4,6,7,0,56,69,1
5,207,22,0,55,69,1
8,208,4,0,56,69,1
10,206,19,0,55,69,1
13,6,11,0,56,69,1
18,1,12,0,56,69,1
20,9,1,0,56,69,1
30,131,5,0,55,69,2
37,164,23,0,54,69,1
39,164,24,0,54,69,1
154,208,8,0,56,69,1
155,15,16,0,55,69,1
807,10,6,0,56,69,1
808,207,21,0,55,69,1
811,3,10,0,56,69,1
813,3,9,0,56,69,1
814,10,13,0,55,69,2
815,15,15,0,56,69,1
817,5,18,0,56,69,1
819,206,20,0,54,69,1
1,1,1,0,54,18,2
3,131,9,0,70,18,4
4,6,7,0,71,18,3
5,207,20,0,70,18,5
8,208,8,0,70,18,3
10,206,21,0,70,18,4
13,6,5,0,71,18,3
17,9,3,0,71,18,3
18,1,2,1,71,18,2
20,9,4,0,71,18,4
30,131,13,0,71,18,4
37,164,24,0,69,18,4
39,164,23,0,69,18,4
155,15,14,0,71,18,3
807,10,6,0,71,18,3
808,207,19,0,70,18,3
814,10,10,0,68,18,3
817,5,15,0,70,18,5
818,5,17,0,71,18,4
819,206,22,0,70,18,3
1,131,3,0,58,1,3
3,131,6,0,26,1,1
4,6,5,0,58,1,3
8,208,7,1,58,1,2
13,6,4,0,58,1,3
16,10,12,0,58,1,2
17,9,2,0,58,1,3
18,1,10,0,58,1,3
20,9,1,0,58,1,3
154,208,8,0,58,1,3
813,3,17,0,24,1,1
814,10,9,0,58,1,2
815,1,15,0,58,1,3
817,5,14,0,39,1,2
818,5,13,0,58,1,3
819,207,22,0,56,1,2
820,206,20,0,56,1,3
821,15,18,0,57,1,2
822,3,16,0,57,1,3
823,207,21,0,56,1,3
824,206,19,0,57,1,3
1,131,4,0,56,2,4
3,131,6,0,56,2,4
8,208,10,0,56,2,3
13,6,2,0,56,2,4
16,10,8,0,27,2,2
17,9,5,0,56,2,4
18,1,7,0,53,2,3
20,9,1,1,56,2,4
154,208,11,0,56,2,3
807,15,12,0,56,2,4
813,3,16,0,45,2,3
814,10,15,0,22,2,2
815,1,9,0,56,2,4
817,5,13,0,51,2,3
818,5,17,0,56,2,3
819,207,20,0,55,2,4
820,206,21,0,54,2,4
821,15,14,0,55,2,4
822,3,18,0,56,2,3
823,207,22,0,55,2,4
824,206,19,0,55,2,4
1,131,1,0,56,17,3
3,131,4,0,21,17,3
4,6,3,1,56,17,3
8,208,2,0,56,17,3
13,6,5,0,56,17,3
17,9,22,0,15,17,2
18,1,8,0,56,17,2
20,9,9,0,56,17,3
154,208,6,0,56,17,3
807,15,10,0,56,17,3
813,3,14,0,56,17,3
814,10,11,0,56,17,3
815,1,12,0,56,17,2
817,5,7,0,56,17,3
818,5,15,0,56,17,3
819,207,20,0,55,17,3
820,206,19,0,55,17,3
822,3,16,0,56,17,3
823,207,21,0,55,17,3
824,206,18,0,55,17,3
1,131,9,0,57,3,3
3,131,1,0,57,3,4
4,6,3,0,57,3,4
8,208,8,0,57,3,2
13,6,4,0,57,3,4
16,10,6,0,57,3,3
17,9,7,0,57,3,3
18,1,10,0,57,3,4
20,9,2,1,57,3,3
154,208,11,0,57,3,3
807,15,14,0,57,3,3
813,3,17,0,57,3,3
814,10,5,0,57,3,2
815,1,12,0,57,3,3
817,5,13,0,56,3,3
818,5,16,0,16,3,1
819,207,18,0,56,3,3
820,206,21,0,56,3,4
821,15,22,0,56,3,4
822,3,15,0,57,3,3
823,207,20,0,55,3,5
824,206,19,0,56,3,4
1,131,2,0,65,4,4
3,131,1,0,66,4,3
4,6,5,1,66,4,4
8,208,4,0,66,4,3
13,6,9,0,66,4,4
16,10,13,0,65,4,4
17,9,7,0,66,4,4
18,1,14,0,66,4,3
20,9,3,0,66,4,4
807,15,15,0,65,4,6
813,3,17,0,65,4,5
814,10,10,0,66,4,4
815,1,8,0,66,4,4
817,5,11,0,65,4,4
818,5,12,0,52,4,4
819,207,22,0,65,4,3
820,206,21,0,64,4,3
821,15,19,0,65,4,4
822,3,16,0,65,4,3
823,207,18,0,21,4,2
824,206,20,0,64,4,4
1,131,2,0,78,6,1
3,131,1,1,78,6,1
4,6,6,0,78,6,1
8,208,5,0,78,6,2
13,6,21,0,28,6,1
16,10,8,0,78,6,1
